id,year,person_id,course_id,url
1,2021,4,2,1
2,2021,5,5,1
3,2021,14,1,
4,2021,3,3,
5,2021,15,4,
6,2021,42,2,
7,2021,51,3,
8,2021,53,1,
9,2021,57,5,
10,2021,13,4,
11,2021,76,81,
12,2021,63,82,
13,2021,77,83,
14,2021,78,85,
15,2022,14,6,
16,2022,84,8,
17,2022,85,9,
18,2022,83,10,
19,2022,53,6,
20,2022,63,8,
21,2022,96,9,
22,2022,104,10,
23,2022,76,89,
24,2022,107,90,
25,2022,52,91,
26,2022,108,92,
27,2022,109,93,
28,2022,110,86,
29,2022,111,86,
