,name,semester,program_id,credits,hours_lecture,seminar_lecture,estimation_in_diploma,exam,test,description,url
49,Вариационное Исчисление,7,1,4,2,2,ИСТИНА,ИСТИНА,ИСТИНА,Курс по вариационному исчислению и оптимальному управлению,1
50,Численные Методы 1,7,1,4,2,2,ЛОЖЬ,ИСТИНА,ИСТИНА,Первая часть курса по численным методам,1
51,МФК,7,1,1,0,0,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,,1
52,Теория Чисел,7,1,4,2,2,ИСТИНА,ИСТИНА,ЛОЖЬ,Курс по теории чисел,1
53,Научно-Исследовательский Семинар,7,1,2,0,2,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,,1
54,История,8,1,3,"1,5","1,5",ЛОЖЬ,ЛОЖЬ,ИСТИНА,,1
55,Методология,8,1,4,2,2,ЛОЖЬ,ЛОЖЬ,ИСТИНА,,1
56,Аналитическая Механика,8,1,4,2,2,ИСТИНА,ИСТИНА,ИСТИНА,Курс по аналитической механике,1
57,Практкум на ЭВМ 4,8,1,2,0,2,ЛОЖЬ,ЛОЖЬ,ИСТИНА,,1
58,Численные Методы 2,8,1,4,2,2,ИСТИНА,ИСТИНА,ИСТИНА,,1
59,МФК,8,1,2,0,2,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,,1
60,Спецкурс по Выбору Студента,8,1,2,0,0,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,,1
61,Научно-Исследовательский Семинар,8,1,2,0,2,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,,1
62,Философия,9,1,3,"1,5","1,5",ЛОЖЬ,ЛОЖЬ,ИСТИНА,,
63,Экономика,9,1,3,"1,5","1,5",ЛОЖЬ,ЛОЖЬ,ИСТИНА,,
64,Русский язык,9,1,4,2,2,ЛОЖЬ,ЛОЖЬ,ИСТИНА,,
65,Механика Сплошных Сред,9,1,4,2,2,ИСТИНА,ИСТИНА,ЛОЖЬ,,
66,Физика,9,1,4,2,2,ЛОЖЬ,ЛОЖЬ,ИСТИНА,,
67,Методика преподавания,9,1,2,0,2,ЛОЖЬ,ЛОЖЬ,ИСТИНА,,
68,Спецкурс по Выбору Студента,9,1,6,0,0,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,,
69,Научно-Исследовательский Семинар,9,1,2,0,2,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,,
70,Иностранный Язык,10,1,2,0,2,ЛОЖЬ,ЛОЖЬ,ИСТИНА,,
71,Философия,10,1,3,"1,5","1,5",ИСТИНА,ИСТИНА,ЛОЖЬ,,
72,Экономика,10,1,3,"1,5","1,5",ИСТИНА,ИСТИНА,ЛОЖЬ,,
73,Физика,10,1,4,2,2,ИСТИНА,ИСТИНА,ЛОЖЬ,,
74,Научно-Исследовательский Семинар,10,1,2,0,2,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,,
75,Спецкурс по Выбору Студента,10,1,4,0,0,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,,
76,Научно-Исследовательский Семинар,10,1,2,0,2,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,,
